,vpn_number,trial,condition,correct_key,key,rt,iscorrect,accuracy,error_rate
3,7,3,words,s,s,0.7897081375120001,True,0.9933333333333333,0.00666666666666671
4,7,4,words,s,s,0.6583170890810001,True,0.9933333333333333,0.00666666666666671
5,7,5,pictures,l,l,0.52078294754,True,0.9933333333333333,0.00666666666666671
6,7,6,words,s,s,0.549988031387,True,0.9933333333333333,0.00666666666666671
7,7,7,pictures,l,l,1.0291998386399999,True,0.9933333333333333,0.00666666666666671
8,7,8,pictures,l,l,0.6964387893680001,True,0.9933333333333333,0.00666666666666671
9,7,9,pictures,l,l,0.440395116806,True,0.9933333333333333,0.00666666666666671
10,7,10,words,s,s,0.496742963791,True,0.9933333333333333,0.00666666666666671
11,7,11,pictures,l,l,0.479253053665,True,0.9933333333333333,0.00666666666666671
12,7,12,words,s,s,0.5962388515470001,True,0.9933333333333333,0.00666666666666671
13,7,13,words,s,s,0.37666702270499997,True,0.9933333333333333,0.00666666666666671
14,7,14,pictures,l,l,0.394441127777,True,0.9933333333333333,0.00666666666666671
15,7,15,words,s,s,0.438056945801,True,0.9933333333333333,0.00666666666666671
16,7,16,pictures,l,l,0.455164909363,True,0.9933333333333333,0.00666666666666671
17,7,17,pictures,l,l,0.44479203224200003,True,0.9933333333333333,0.00666666666666671
18,7,18,words,s,s,0.476292133331,True,0.9933333333333333,0.00666666666666671
19,7,19,words,s,s,0.422929048538,True,0.9933333333333333,0.00666666666666671
20,7,20,words,s,s,0.332472085953,True,0.9933333333333333,0.00666666666666671
21,7,21,pictures,l,l,0.38559794426,True,0.9933333333333333,0.00666666666666671
22,7,22,words,s,s,0.501106023788,True,0.9933333333333333,0.00666666666666671
23,7,23,pictures,l,l,0.405500173569,True,0.9933333333333333,0.00666666666666671
24,7,24,pictures,l,l,0.554160118103,True,0.9933333333333333,0.00666666666666671
25,7,25,words,s,s,0.45321416854900004,True,0.9933333333333333,0.00666666666666671
26,7,26,pictures,l,l,0.41150021553000005,True,0.9933333333333333,0.00666666666666671
27,7,27,words,s,s,0.380402803421,True,0.9933333333333333,0.00666666666666671
28,7,28,words,s,s,0.368949174881,True,0.9933333333333333,0.00666666666666671
29,7,29,words,s,s,0.27720499038699997,True,0.9933333333333333,0.00666666666666671
30,7,30,pictures,l,l,0.43259596824600005,True,0.9933333333333333,0.00666666666666671
31,7,31,words,s,s,0.37795090675399995,True,0.9933333333333333,0.00666666666666671
32,7,32,words,s,s,0.356539964676,True,0.9933333333333333,0.00666666666666671
33,7,33,pictures,l,l,0.308804035187,True,0.9933333333333333,0.00666666666666671
34,7,34,words,s,s,0.457957983017,True,0.9933333333333333,0.00666666666666671
35,7,35,words,s,s,0.308223009109,True,0.9933333333333333,0.00666666666666671
36,7,36,pictures,l,l,0.32301902770999996,True,0.9933333333333333,0.00666666666666671
37,7,37,pictures,l,l,0.40187907218900004,True,0.9933333333333333,0.00666666666666671
38,7,38,pictures,l,l,0.353718996048,True,0.9933333333333333,0.00666666666666671
39,7,39,pictures,l,l,0.40084099769599996,True,0.9933333333333333,0.00666666666666671
40,7,40,pictures,l,l,0.354986906052,True,0.9933333333333333,0.00666666666666671
41,7,41,pictures,l,l,0.426378011703,True,0.9933333333333333,0.00666666666666671
42,7,42,words,s,s,0.44935894012500005,True,0.9933333333333333,0.00666666666666671
43,7,43,words,s,s,0.313074111938,True,0.9933333333333333,0.00666666666666671
44,7,44,pictures,l,l,0.375115871429,True,0.9933333333333333,0.00666666666666671
45,7,45,pictures,l,l,0.36116909980800005,True,0.9933333333333333,0.00666666666666671
46,7,46,words,s,s,0.419496059418,True,0.9933333333333333,0.00666666666666671
47,7,47,pictures,l,l,0.314880847931,True,0.9933333333333333,0.00666666666666671
48,7,48,words,s,s,0.35220599174500006,True,0.9933333333333333,0.00666666666666671
49,7,49,words,s,s,0.56702208519,True,0.9933333333333333,0.00666666666666671
50,7,50,pictures,l,l,0.389698028564,True,0.9933333333333333,0.00666666666666671
51,7,51,pictures,l,l,0.447993040085,True,0.9933333333333333,0.00666666666666671
52,7,52,words,s,s,0.46929907798799997,True,0.9933333333333333,0.00666666666666671
53,7,53,words,s,s,0.312170028687,True,0.9933333333333333,0.00666666666666671
54,7,54,words,s,s,0.46446609497100005,True,0.9933333333333333,0.00666666666666671
55,7,55,words,s,s,0.329237937927,True,0.9933333333333333,0.00666666666666671
56,7,56,pictures,l,l,0.593826055527,True,0.9933333333333333,0.00666666666666671
57,7,57,words,s,s,0.387558221817,True,0.9933333333333333,0.00666666666666671
58,7,58,words,s,s,0.339619874954,True,0.9933333333333333,0.00666666666666671
59,7,59,pictures,l,l,0.559103965759,True,0.9933333333333333,0.00666666666666671
60,7,60,pictures,l,l,0.405642986298,True,0.9933333333333333,0.00666666666666671
61,7,61,pictures,l,l,0.411089897156,True,0.9933333333333333,0.00666666666666671
62,7,62,words,s,s,0.47041893005400004,True,0.9933333333333333,0.00666666666666671
63,7,63,pictures,l,l,0.452273845673,True,0.9933333333333333,0.00666666666666671
64,7,64,pictures,l,l,0.488857030869,True,0.9933333333333333,0.00666666666666671
65,7,65,words,s,s,0.417739868164,True,0.9933333333333333,0.00666666666666671
66,7,66,words,s,s,0.33633708953900004,True,0.9933333333333333,0.00666666666666671
67,7,67,pictures,l,l,0.34616708755500003,True,0.9933333333333333,0.00666666666666671
68,7,68,words,s,s,0.370404958725,True,0.9933333333333333,0.00666666666666671
69,7,69,words,s,s,0.344369888306,True,0.9933333333333333,0.00666666666666671
70,7,70,pictures,l,l,0.298655033112,True,0.9933333333333333,0.00666666666666671
71,7,71,words,s,s,0.334600925446,True,0.9933333333333333,0.00666666666666671
72,7,72,pictures,l,l,0.35827493667599997,True,0.9933333333333333,0.00666666666666671
73,7,73,pictures,l,l,0.39103603363000006,True,0.9933333333333333,0.00666666666666671
74,7,74,words,s,s,0.432385206223,True,0.9933333333333333,0.00666666666666671
75,7,75,pictures,l,l,0.39346814155599996,True,0.9933333333333333,0.00666666666666671
76,7,76,pictures,l,l,0.544439792633,True,0.9933333333333333,0.00666666666666671
77,7,77,pictures,l,l,0.540313005447,True,0.9933333333333333,0.00666666666666671
78,7,78,words,s,s,0.44772791862499994,True,0.9933333333333333,0.00666666666666671
79,7,79,words,s,s,0.360159873962,True,0.9933333333333333,0.00666666666666671
80,7,80,words,s,s,0.338310956955,True,0.9933333333333333,0.00666666666666671
81,7,81,pictures,l,l,0.628936052322,True,0.9933333333333333,0.00666666666666671
82,7,82,words,s,s,0.479012966156,True,0.9933333333333333,0.00666666666666671
83,7,83,words,s,s,0.302484035492,True,0.9933333333333333,0.00666666666666671
84,7,84,words,s,s,0.386414051056,True,0.9933333333333333,0.00666666666666671
85,7,85,words,s,s,0.403476953506,True,0.9933333333333333,0.00666666666666671
86,7,86,pictures,l,l,0.47937607765199997,True,0.9933333333333333,0.00666666666666671
87,7,87,words,s,s,0.37417697906499997,True,0.9933333333333333,0.00666666666666671
88,7,88,words,s,s,0.377821922302,True,0.9933333333333333,0.00666666666666671
89,7,89,words,s,s,0.336883068085,True,0.9933333333333333,0.00666666666666671
90,7,90,words,s,s,0.362807035446,True,0.9933333333333333,0.00666666666666671
91,7,91,words,s,s,0.399839878082,True,0.9933333333333333,0.00666666666666671
92,7,92,words,s,s,0.42956900596600006,True,0.9933333333333333,0.00666666666666671
93,7,93,pictures,l,l,0.33642411232,True,0.9933333333333333,0.00666666666666671
94,7,94,words,s,s,0.398589849472,True,0.9933333333333333,0.00666666666666671
95,7,95,pictures,l,l,0.30554485320999997,True,0.9933333333333333,0.00666666666666671
96,7,96,words,s,s,0.558537006378,True,0.9933333333333333,0.00666666666666671
97,7,97,pictures,l,l,0.35722899437,True,0.9933333333333333,0.00666666666666671
98,7,98,pictures,l,l,0.476588964462,True,0.9933333333333333,0.00666666666666671
99,7,99,words,s,s,0.413588047028,True,0.9933333333333333,0.00666666666666671
100,7,100,pictures,l,l,0.35774707794200006,True,0.9933333333333333,0.00666666666666671
101,7,101,pictures,l,l,0.5872058868410001,True,0.9933333333333333,0.00666666666666671
102,7,102,words,s,s,0.378978013992,True,0.9933333333333333,0.00666666666666671
103,7,103,pictures,l,l,0.35865497589100004,True,0.9933333333333333,0.00666666666666671
104,7,104,pictures,l,l,0.39832711219800004,True,0.9933333333333333,0.00666666666666671
105,7,105,words,s,s,0.406462907791,True,0.9933333333333333,0.00666666666666671
106,7,106,words,s,s,0.345565080643,True,0.9933333333333333,0.00666666666666671
107,7,107,words,s,s,0.363661050797,True,0.9933333333333333,0.00666666666666671
108,7,108,pictures,l,l,0.45650506019599996,True,0.9933333333333333,0.00666666666666671
109,7,109,pictures,l,l,0.47420096397399997,True,0.9933333333333333,0.00666666666666671
110,7,110,words,s,s,0.378606081009,True,0.9933333333333333,0.00666666666666671
111,7,111,pictures,l,l,0.36974501609800003,True,0.9933333333333333,0.00666666666666671
112,7,112,words,s,s,0.322215080261,True,0.9933333333333333,0.00666666666666671
113,7,113,words,s,s,0.337664842606,True,0.9933333333333333,0.00666666666666671
114,7,114,words,s,s,0.357304096222,True,0.9933333333333333,0.00666666666666671
115,7,115,pictures,l,l,0.501895189285,True,0.9933333333333333,0.00666666666666671
116,7,116,pictures,l,l,0.410279989243,True,0.9933333333333333,0.00666666666666671
117,7,117,words,s,s,0.392795801163,True,0.9933333333333333,0.00666666666666671
118,7,118,pictures,l,l,0.366140127182,True,0.9933333333333333,0.00666666666666671
119,7,119,pictures,l,l,0.529284000397,True,0.9933333333333333,0.00666666666666671
120,7,120,words,s,s,0.395424842834,True,0.9933333333333333,0.00666666666666671
